column_alias,column_logic,table1,table2,table3
Open_Status,"(vfpol.purch_line_net_trns_amt - vfpol.purch_line_paid_trns_amt - vfpol.purch_line_act_dscnt_trns_amt + vfpol.purch_line_cr_trns_amt) > 1",Procurement_Analysis_NRS.v_fact_purch_ord_line.purch_line_net_trns_amt,Procurement_Analysis_NRS.v_fact_purch_ord_line.purch_line_paid_trns_amt,Procurement_Analysis_NRS.v_fact_purch_ord_line.purch_line_act_dscnt_trns_amt
Late_Indicator,"(vfpol.purch_line_rcv_sts_cd = 'Complete' AND vfpol.gds_rcpt_dlvr_dt_late_ind = 'Y') OR (vfpol.purch_line_rcv_sts_cd <> 'Complete' AND dlvr_dt < current_timestamp(0))",Procurement_Analysis_NRS.v_fact_purch_ord_line.purch_line_rcv_sts_cd,Procurement_Analysis_NRS.v_fact_purch_ord_line.gds_rcpt_dlvr_dt_late_ind,Procurement_Analysis_NRS.v_fact_purch_ord_line.dlvr_dt
AuthorizationStatus,"CASE WHEN vfpoh.rlse_ind = 'U' THEN 'Waiting Auth' WHEN vfpoh.rlse_ind = 'R' THEN 'Rejected' ELSE 'Approved' END",Procurement_Analysis_NRS.v_fact_purch_ord_hdr.rlse_ind,,
LegacyOrderFromSupplierNbr,"CASE WHEN vfpoh.lgcy_ord_fr_supl_id = '*' THEN NULL ELSE vfpoh.lgcy_ord_fr_supl_id END",Procurement_Analysis_NRS.v_fact_purch_ord_hdr.lgcy_ord_fr_supl_id,,
Requestor_WINGS,"CASE WHEN vfpol.cfm_ctrl_cd > '' AND (SUBSTR(vfpol.purch_doc_nbr,1,3)='430' OR SUBSTR(vfpol.purch_doc_nbr,1,3)='700') THEN 'WINGS' ELSE vfpol.purch_doc_rqstr_uid END",Procurement_Analysis_NRS.v_fact_purch_ord_line.cfm_ctrl_cd,Procurement_Analysis_NRS.v_fact_purch_ord_line.purch_doc_nbr,Procurement_Analysis_NRS.v_fact_purch_ord_line.purch_doc_rqstr_uid
SupplierName_Concat,"supl_line_1_nm || (CASE WHEN supl_line_2_nm IS NULL THEN '' ELSE supl_line_2_nm END)",SUPPLIER.v_supl.supl_line_1_nm,SUPPLIER.v_supl.supl_line_2_nm,
Invoice_Line_Type,"CASE WHEN vfsiel.purch_doc_line_nbr='*' AND gl_acct_nbr='221110' THEN 'Discount' ELSE (CASE WHEN vfsiel.purch_doc_line_nbr='*' AND gl_acct_nbr<>'221110' THEN 'Acct Split' ELSE vfsiel.purch_doc_line_nbr END) END",Procurement_Analysis_NRS.v_fact_supl_invc_exp_line.purch_doc_line_nbr,Procurement_Analysis_NRS.v_fact_supl_invc_exp_line.gl_acct_nbr,
DebitCredit,"CASE WHEN vfsiel.dr_cr_ind='S' THEN (CASE WHEN fin_doc_rvrs_nbr<>'*' THEN 'Reversed Debit' ELSE 'Debit' END) ELSE (CASE WHEN fin_doc_rvrs_nbr<>'*' THEN 'Reversed Credit' ELSE 'Credit' END) END",Procurement_Analysis_NRS.v_fact_supl_invc_exp_line.dr_cr_ind,Procurement_Analysis_NRS.v_fact_supl_invc_exp_line.fin_doc_rvrs_nbr,
PaymentStatus,"CASE WHEN fin_doc_rvrs_nbr<>'*' THEN 'Not Paid' ELSE (CASE WHEN vfsih.pmt_bloc_cd<>'' THEN 'Blocked' ELSE (CASE WHEN vfsic.clr_doc_nbr='*' THEN 'Pending' ELSE (CASE WHEN vfsiel.purch_doc_line_nbr='*' THEN 'N/A' ELSE 'Paid' END) END) END) END",Procurement_Analysis.v_fact_supl_invc_hdr.pmt_bloc_cd,Procurement_Analysis_NRS.v_fact_supl_invc_clr.clr_doc_nbr,Procurement_Analysis_NRS.v_fact_supl_invc_exp_line.purch_doc_line_nbr
Payment_Clear_Status,"CASE WHEN fin_doc_rvrs_ind = 'Y' THEN 'Reversed' ELSE (CASE WHEN pmt_bloc_ind = 'Y' THEN 'Blocked' ELSE (CASE WHEN clr_doc_nbr = '*' THEN 'Pending' ELSE 'Cleared' END) END) END",Procurement_Analysis_NRS.v_fact_supl_invc_clr.fin_doc_rvrs_ind,Procurement_Analysis_NRS.v_fact_supl_invc_clr.pmt_bloc_ind,Procurement_Analysis_NRS.v_fact_supl_invc_clr.clr_doc_nbr
RequisitionTypeDesc,"CASE WHEN purch_rqsit_type_cd IN ('EC','EA') THEN 'Shopping Cart Item' ELSE 'SAP Requisition' END",PROCUREMENT.v_purch_rqsit_CRS.purch_rqsit_type_cd,,
ShoppingCartStatus,"CASE WHEN vsca.src_sys_nm = 'SBI-NBP' THEN CASE vsca.aprv_sts_cd WHEN 'I1129' THEN 'Approved' WHEN 'I1015' THEN 'Awaiting Approval' WHEN 'I1016' THEN 'Rejected' ELSE 'Review' END ELSE CASE vsca.aprv_sts_cd WHEN '3' THEN 'Approved' WHEN '1' THEN 'Waiting' WHEN '2' THEN 'Rejected' ELSE 'Review' END END",PROCUREMENT.v_shop_cart_aprvr.src_sys_nm,PROCUREMENT.v_shop_cart_aprvr.aprv_sts_cd,
